,person_name,sent
116,Dillon Robert,frus1969-76v30_d197
117,B. Macomber William,frus1969-76v30_d198
118,H. Harold Saunders “Hal”,frus1969-76v30_d199
119,B. Macomber William,frus1969-76v30_d200
120,B. Macomber William,frus1969-76v30_d204
121,B. Macomber William,frus1969-76v30_d207
122,A. Henry Kissinger,frus1969-76v30_d208
123,A. Henry Kissinger,frus1969-76v30_d209
124,A. Henry Kissinger,frus1969-76v30_d212
125,Colby E. William,frus1969-76v30_d213
126,(Bill) Clements Jr. William,frus1969-76v30_d213
127,Brent C. Scowcroft,frus1969-76v30_d214
128,A. Clift Denis,frus1969-76v30_d216
129,Brent C. Scowcroft,frus1969-76v30_d218
130,Brent C. Scowcroft,frus1969-76v30_d219
131,Brent C. Scowcroft,frus1969-76v30_d220
132,G. Hyland William,frus1969-76v30_d222
133,Brent C. Scowcroft,frus1969-76v30_d225
134,Brent C. Scowcroft,frus1969-76v30_d226
135,Brent C. Scowcroft,frus1969-76v30_d231
136,A. General Lieutenant Vernon Walters,frus1969-76v30_d235
137,A. General Lieutenant Vernon Walters,frus1969-76v30_d235
138,B. Macomber William,frus1969-76v30_d238
139,B. Macomber William,frus1969-76v30_d247
